Gestures,Hand,HandPalmPosition,HandPalmOrientation
5,Left,"(-114.097, 333.885, -41.5843)","(0.004681, -0.00542475, -0.999974)"
5,Left,"(-115.064, 334.338, -41.5407)","(0.00249886, -0.00124578, -0.999996)"
5,Left,"(-115.941, 334.653, -41.4366)","(0.00220749, -0.00725984, -0.999971)"
5,Left,"(-116.725, 334.871, -41.5359)","(-0.00039493, -0.00101488, -0.999999)"
5,Left,"(-117.377, 335.054, -41.5023)","(-0.00169529, 0.00589913, -0.999981)"
5,Left,"(-117.928, 335.149, -41.5397)","(-0.00380056, 0.00791126, -0.999961)"
5,Left,"(-118.438, 335.272, -41.2739)","(-0.00453997, 5.54981e-006, -0.99999)"
5,Left,"(-118.947, 335.226, -41.1307)","(-0.00780006, 0.0048584, -0.999958)"
5,Left,"(-119.328, 334.958, -40.9222)","(-0.0119699, 0.00914933, -0.999887)"
5,Left,"(-119.577, 334.584, -40.6545)","(-0.0199243, 0.0104685, -0.999747)"
5,Left,"(-119.463, 334.194, -40.3737)","(-0.0229396, 0.00318286, -0.999732)"
5,Left,"(-119.05, 333.821, -40.243)","(-0.029966, 0.00677941, -0.999528)"
5,Left,"(-118.442, 333.312, -40.2783)","(-0.0372188, 0.0109489, -0.999247)"
5,Left,"(-117.595, 332.629, -40.3448)","(-0.0444139, 0.0146777, -0.998905)"
5,Left,"(-116.412, 331.88, -40.4596)","(-0.0498645, 0.0157547, -0.998632)"
5,Left,"(-114.846, 330.898, -40.6022)","(-0.0502381, 0.0145468, -0.998631)"
5,Left,"(-113.025, 329.908, -40.777)","(-0.0501772, 0.0105173, -0.998685)"
5,Left,"(-110.825, 328.906, -41.0473)","(-0.0441429, 0.00150633, -0.999024)"
5,Left,"(-108.475, 327.751, -41.3619)","(-0.0442725, 0.0081198, -0.998986)"
5,Left,"(-105.729, 326.258, -41.7977)","(-0.0422476, 0.00718246, -0.999081)"
5,Left,"(-102.781, 324.809, -42.1859)","(-0.0377247, 0.00267611, -0.999285)"
5,Left,"(-99.6159, 323.102, -42.4682)","(-0.033452, 0.000906096, -0.99944)"
5,Left,"(-96.1376, 321.288, -42.6772)","(-0.0280516, 0.00228964, -0.999604)"
5,Left,"(-92.4579, 319.304, -42.8457)","(-0.0215321, -9.13346e-005, -0.999768)"
5,Left,"(-88.6204, 317.29, -43.0086)","(-0.0174842, 0.001036, -0.999847)"
5,Left,"(-84.7097, 315.368, -43.1506)","(-0.00742962, -0.00231137, -0.99997)"
5,Left,"(-80.7181, 313.479, -43.2556)","(0.00282919, -0.0102881, -0.999943)"
5,Left,"(-76.7357, 311.739, -43.2739)","(0.010068, -0.0144688, -0.999845)"
5,Left,"(-72.6732, 309.918, -43.3606)","(0.0201291, -0.0176295, -0.999642)"
5,Left,"(-68.5821, 308.478, -43.4433)","(0.0295158, -0.0250571, -0.99925)"
5,Left,"(-64.5729, 307.231, -43.6209)","(0.0360625, -0.0245242, -0.999049)"
5,Left,"(-60.5764, 306.245, -43.7229)","(0.0424526, -0.0228804, -0.998836)"
5,Left,"(-56.5129, 305.334, -44.0272)","(0.0499852, -0.0220282, -0.998507)"
5,Left,"(-52.5493, 304.584, -44.3083)","(0.055746, -0.024516, -0.998144)"
5,Left,"(-48.6474, 303.979, -44.6034)","(0.0631527, -0.0204212, -0.997795)"
5,Left,"(-44.8006, 303.265, -44.9674)","(0.0674765, -0.0145416, -0.997615)"
5,Left,"(-40.9581, 302.592, -45.3376)","(0.0732517, -0.0114129, -0.997248)"
5,Left,"(-37.2056, 301.951, -45.6627)","(0.0786265, -0.010768, -0.996846)"
5,Left,"(-33.5213, 301.23, -45.9947)","(0.0834323, -0.0115382, -0.996447)"
5,Left,"(-29.9655, 300.567, -46.283)","(0.0875806, -0.011349, -0.996093)"
5,Left,"(-26.4242, 300.011, -46.5852)","(0.0918026, -0.0102806, -0.995724)"
5,Left,"(-23.0027, 299.433, -46.8663)","(0.0957171, -0.0150672, -0.995295)"
5,Left,"(-19.6841, 299.01, -47.2288)","(0.0999969, -0.019851, -0.99479)"
5,Left,"(-16.4726, 298.546, -47.7076)","(0.103128, -0.0209842, -0.994447)"
5,Left,"(-13.2814, 297.979, -48.2287)","(0.106791, -0.0145523, -0.994175)"
5,Left,"(-10.1791, 297.42, -48.6316)","(0.11066, -0.0174476, -0.993705)"
5,Left,"(-7.17643, 297.068, -49.1287)","(0.113677, -0.0146942, -0.993409)"
5,Left,"(-4.24778, 296.774, -49.5561)","(0.116158, -0.0156977, -0.993107)"
5,Left,"(-1.34516, 296.544, -49.9706)","(0.118921, -0.0140837, -0.992804)"
5,Left,"(1.56432, 296.388, -50.3977)","(0.121424, -0.0139719, -0.992502)"
5,Left,"(4.40422, 296.063, -50.829)","(0.125054, -0.00937224, -0.992106)"
5,Left,"(7.15303, 295.91, -51.217)","(0.127486, -0.0108903, -0.991781)"
5,Left,"(9.90462, 295.631, -51.5373)","(0.129269, -0.00744487, -0.991582)"
5,Left,"(12.5853, 295.342, -51.8812)","(0.131368, -0.00961488, -0.991287)"
5,Left,"(15.2799, 295.147, -52.163)","(0.134589, -0.00980796, -0.990853)"
5,Left,"(17.9328, 295.067, -52.4681)","(0.137008, -0.0122973, -0.990494)"
5,Left,"(20.5891, 294.987, -52.7309)","(0.139517, -0.00872605, -0.990181)"
5,Left,"(23.2167, 294.954, -52.979)","(0.141752, -0.00699103, -0.989878)"
5,Left,"(25.8432, 294.988, -53.1803)","(0.142924, -0.0114518, -0.989667)"
5,Left,"(28.3933, 294.837, -53.4293)","(0.146434, -0.0118366, -0.98915)"
5,Left,"(30.9361, 294.638, -53.6197)","(0.1491, -0.0158753, -0.988695)"
5,Left,"(33.5597, 294.507, -53.9186)","(0.153253, -0.0138901, -0.988089)"
5,Left,"(36.1049, 294.417, -54.2219)","(0.157427, -0.0162861, -0.987396)"
5,Left,"(38.6636, 294.501, -54.4637)","(0.160235, -0.0152805, -0.986961)"
5,Left,"(41.1619, 294.668, -54.5943)","(0.163306, -0.0175019, -0.98642)"
5,Left,"(43.5281, 294.602, -54.7719)","(0.166261, -0.00950633, -0.986036)"
5,Left,"(45.984, 294.668, -54.8668)","(0.170652, -0.0130513, -0.985245)"
5,Left,"(50.7609, 294.708, -54.4227)","(0.172435, -0.0123683, -0.984943)"
5,Left,"(53.1242, 294.887, -54.3675)","(0.17996, -0.0120607, -0.9836)"
