Gestures,Hand,HandPalmPosition,HandPalmOrientation
1,Left,"(132.341, 473.746, 89.1543)","(0.10839, 0.101728, -0.98889)"
1,Left,"(132.197, 473.071, 89.5634)","(0.105486, 0.0965847, -0.989719)"
1,Left,"(132.354, 472.277, 89.9294)","(0.110024, 0.0802943, -0.99068)"
1,Left,"(132.416, 471.985, 90.3742)","(0.105733, 0.0758342, -0.991499)"
1,Left,"(132.858, 471.542, 90.6904)","(0.115236, 0.0720491, -0.990722)"
1,Left,"(133.207, 471.478, 91.2251)","(0.115159, 0.0696482, -0.990902)"
1,Left,"(133.292, 471.15, 91.6441)","(0.107072, 0.0581659, -0.992548)"
1,Left,"(133.586, 471.105, 92.0837)","(0.110303, 0.0594544, -0.992118)"
1,Left,"(133.5, 471.042, 92.4101)","(0.101177, 0.0559572, -0.993294)"
1,Left,"(133.786, 471.08, 92.6757)","(0.1062, 0.0594036, -0.992569)"
1,Left,"(133.927, 471.466, 92.8986)","(0.106558, 0.0620453, -0.992369)"
1,Left,"(134.367, 471.621, 93.2329)","(0.113289, 0.063145, -0.991553)"
1,Left,"(134.616, 472.066, 93.399)","(0.113042, 0.0644144, -0.9915)"
1,Left,"(135.147, 472.276, 93.7495)","(0.119555, 0.0653407, -0.990675)"
1,Left,"(135.349, 473.108, 94.0539)","(0.115785, 0.0726708, -0.990612)"
1,Left,"(135.841, 473.294, 94.6617)","(0.117607, 0.0714002, -0.99049)"
2,Left,"(136.171, 474.09, 95.1766)","(0.117226, 0.0759284, -0.990198)"
2,Left,"(136.421, 474.255, 95.7301)","(0.119691, 0.0745154, -0.990011)"
2,Left,"(136.641, 474.395, 96.4206)","(0.123385, 0.0726975, -0.989693)"
2,Left,"(136.789, 474.846, 96.9938)","(0.127105, 0.0759487, -0.988977)"
2,Left,"(137.061, 475.12, 97.6553)","(0.133715, 0.0721212, -0.988392)"
2,Left,"(137.222, 476.061, 98.3696)","(0.131569, 0.0734381, -0.988583)"
2,Left,"(137.458, 476.306, 99.1061)","(0.133871, 0.0676201, -0.988689)"
2,Left,"(137.604, 477.158, 99.7014)","(0.134006, 0.0816633, -0.98761)"
2,Left,"(137.846, 477.498, 100.361)","(0.137851, 0.0769858, -0.987456)"
2,Left,"(137.856, 478.647, 100.699)","(0.130079, 0.095352, -0.986908)"
2,Left,"(138.059, 478.564, 101.129)","(0.132596, 0.0872863, -0.987319)"
2,Left,"(138.035, 478.906, 101.487)","(0.129244, 0.0922638, -0.987311)"
2,Left,"(137.847, 478.617, 101.808)","(0.131823, 0.0814407, -0.987922)"
2,Left,"(137.779, 478.175, 102.027)","(0.130078, 0.0780297, -0.988429)"
2,Left,"(137.609, 478.157, 102.227)","(0.128579, 0.0795919, -0.9885)"
2,Left,"(137.441, 477.746, 102.478)","(0.127821, 0.0718768, -0.989189)"
2,Left,"(137.228, 477.911, 102.733)","(0.126122, 0.0748294, -0.989188)"
2,Left,"(137.067, 477.571, 102.981)","(0.127232, 0.067503, -0.989573)"
2,Left,"(136.677, 477.432, 103.156)","(0.119106, 0.0661948, -0.990673)"
2,Left,"(136.396, 477.058, 103.431)","(0.119762, 0.0599474, -0.990991)"
2,Left,"(135.897, 476.946, 103.522)","(0.117988, 0.0647513, -0.990902)"
2,Left,"(135.403, 476.463, 103.744)","(0.115463, 0.0516234, -0.991969)"
2,Left,"(134.922, 476.045, 103.959)","(0.112135, 0.0501485, -0.992427)"
2,Left,"(134.415, 475.715, 104.089)","(0.11507, 0.0521437, -0.991988)"
1,Left,"(133.982, 475.303, 104.12)","(0.116573, 0.0580078, -0.991487)"
1,Left,"(133.391, 475.103, 104.025)","(0.113813, 0.0630805, -0.991498)"
1,Left,"(133.032, 474.866, 103.956)","(0.116328, 0.0682668, -0.990862)"
1,Left,"(132.485, 475.006, 103.84)","(0.112916, 0.0742417, -0.990827)"
1,Left,"(132.065, 475.188, 103.844)","(0.109144, 0.0641077, -0.991956)"
1,Left,"(131.34, 475.729, 103.738)","(0.101589, 0.0668604, -0.992577)"
1,Left,"(130.897, 475.95, 103.832)","(0.100478, 0.0634352, -0.992915)"
