Gestures,Hand,HandPalmPosition,HandPalmOrientation
2,Right,"(-26.9813, 325.397, 3.32224)","(0.0142208, -0.00387193, -0.999891)"
2,Right,"(-27.1529, 325.33, 2.68382)","(0.0184207, -0.00744416, -0.999803)"
2,Right,"(-27.5178, 325.319, 1.90795)","(0.0140072, -0.00447654, -0.999892)"
2,Right,"(-27.7959, 324.951, 1.21791)","(0.0181678, -0.00647841, -0.999814)"
2,Right,"(-28.1996, 324.725, 0.42563)","(0.0166741, -0.00830439, -0.999826)"
2,Right,"(-28.5513, 324.474, -0.312999)","(0.0211682, -0.00427001, -0.999767)"
2,Right,"(-29.0296, 324.225, -1.16997)","(0.019628, 0.00167802, -0.999806)"
2,Right,"(-29.5636, 324.111, -2.11009)","(0.0159652, 0.0113054, -0.999809)"
2,Right,"(-30.0772, 323.9, -2.87698)","(0.0193675, 0.00600573, -0.999794)"
2,Right,"(-30.7443, 323.557, -3.85419)","(0.014331, 0.00816647, -0.999864)"
2,Right,"(-31.2105, 323.152, -4.53144)","(0.0153979, 0.00854092, -0.999845)"
2,Right,"(-31.9146, 323.001, -5.28952)","(0.0114062, 0.00686764, -0.999911)"
2,Right,"(-32.5276, 322.835, -6.02055)","(0.0131678, 0.00591398, -0.999896)"
2,Right,"(-33.2155, 322.406, -6.64754)","(0.0115728, 0.000142595, -0.999933)"
2,Right,"(-33.9621, 322.195, -7.62577)","(0.00920938, 0.00771994, -0.999928)"
2,Right,"(-34.5558, 321.885, -8.2424)","(0.0110539, 0.00311134, -0.999934)"
2,Right,"(-35.2198, 321.454, -9.104)","(0.0122955, 0.00349771, -0.999918)"
2,Right,"(-35.8173, 321.312, -9.69729)","(0.0133746, 0.00169568, -0.999909)"
2,Right,"(-36.4547, 321.109, -10.4188)","(0.0137297, -0.000169258, -0.999906)"
2,Right,"(-37.1217, 320.65, -10.8795)","(0.00935225, 0.012645, -0.999876)"
2,Right,"(-37.72, 320.127, -11.2891)","(0.00652035, 0.0182837, -0.999812)"
2,Right,"(-38.4748, 319.623, -11.8997)","(-0.000161062, 0.0225663, -0.999745)"
2,Right,"(-39.1349, 319.275, -12.3573)","(-0.00202918, 0.0223145, -0.999749)"
2,Right,"(-39.8258, 318.911, -12.966)","(-0.00389005, 0.0217479, -0.999756)"
2,Right,"(-40.5151, 318.691, -13.6163)","(-0.00239207, 0.0180482, -0.999834)"
2,Right,"(-41.1753, 318.531, -14.2624)","(-0.00349653, 0.0159813, -0.999866)"
2,Right,"(-41.853, 318.324, -15.011)","(-0.00306743, 0.0164743, -0.99986)"
2,Right,"(-42.4896, 318.216, -15.7177)","(-0.00229976, 0.0157287, -0.999874)"
2,Right,"(-43.1492, 318.182, -16.5234)","(-0.00278122, 0.0173968, -0.999845)"
2,Right,"(-43.8119, 318.083, -17.3161)","(-0.0042302, 0.0172468, -0.999842)"
2,Right,"(-44.4241, 317.892, -18.1001)","(-0.00438721, 0.0141085, -0.999891)"
2,Right,"(-44.9978, 317.609, -18.827)","(-0.00438881, 0.0111021, -0.999929)"
2,Right,"(-45.6183, 317.294, -19.6569)","(-0.0060634, 0.0117539, -0.999913)"
2,Right,"(-46.1487, 317.059, -20.4307)","(-0.00549452, 0.0155611, -0.999864)"
2,Right,"(-46.6602, 316.944, -21.2717)","(-0.00344546, 0.0171591, -0.999847)"
2,Right,"(-47.1117, 316.72, -22.0365)","(-0.0037203, 0.0163544, -0.999859)"
2,Right,"(-47.6047, 316.581, -22.8468)","(-0.00248854, 0.0144757, -0.999892)"
2,Right,"(-48.0211, 316.429, -23.6074)","(-0.00311372, 0.0162359, -0.999863)"
2,Right,"(-48.4517, 316.292, -24.4577)","(-0.00197559, 0.0178236, -0.999839)"
2,Right,"(-48.8962, 316.216, -25.297)","(-0.00313973, 0.0228784, -0.999733)"
2,Right,"(-49.2898, 316.056, -26.1322)","(-0.00254111, 0.022414, -0.999746)"
