Gestures,Hand,HandPalmPosition,HandPalmOrientation
4,Left,"(-17.3206, 358.292, 34.5501)","(-0.138155, 0.03611, -0.989752)"
4,Left,"(-17.6679, 359.328, 35.9751)","(-0.141255, 0.0493635, -0.988742)"
4,Left,"(-18.0385, 359.55, 37.7252)","(-0.139166, 0.0457077, -0.989214)"
4,Left,"(-18.5894, 359.597, 39.1886)","(-0.14354, 0.0341325, -0.989056)"
4,Left,"(-19.329, 359.325, 40.6126)","(-0.145499, 0.0264485, -0.989005)"
4,Left,"(-20.1054, 358.529, 42.0275)","(-0.145382, 0.0157819, -0.98925)"
4,Left,"(-21.1373, 357.921, 43.1686)","(-0.14824, 0.000964772, -0.988951)"
4,Left,"(-22.2971, 357.458, 44.5803)","(-0.150908, -0.0176092, -0.988391)"
4,Left,"(-23.678, 357.522, 45.6105)","(-0.154186, -0.01805, -0.987877)"
4,Left,"(-25.0872, 357.365, 46.9512)","(-0.157671, -0.0280077, -0.987094)"
4,Left,"(-26.6395, 357.679, 48.0653)","(-0.163599, -0.033945, -0.985943)"
4,Left,"(-28.2456, 357.921, 49.1404)","(-0.173887, -0.0458859, -0.983696)"
4,Left,"(-29.8812, 358.812, 50.4552)","(-0.181129, -0.0578941, -0.981754)"
4,Left,"(-31.5177, 359.663, 51.6061)","(-0.191453, -0.0624691, -0.979512)"
4,Left,"(-33.114, 360.293, 52.7983)","(-0.198442, -0.0673833, -0.977794)"
4,Left,"(-34.7666, 361.049, 53.8598)","(-0.206133, -0.0659172, -0.976301)"
4,Left,"(-36.3138, 361.668, 54.8729)","(-0.213453, -0.063411, -0.974893)"
4,Left,"(-37.9021, 362.655, 55.8276)","(-0.222044, -0.0560349, -0.973425)"
4,Left,"(-39.4205, 363.613, 56.6475)","(-0.229111, -0.0434664, -0.972429)"
4,Left,"(-40.8977, 364.114, 57.4262)","(-0.237456, -0.0319661, -0.970872)"
4,Left,"(-42.3219, 365.091, 58.0926)","(-0.245701, -0.00268591, -0.969342)"
4,Left,"(-44.4355, 366.087, 59.9126)","(-0.248543, -0.00944578, -0.968575)"
4,Left,"(-45.5534, 367.307, 60.6897)","(-0.255723, 0.00881345, -0.96671)"
4,Left,"(-46.5204, 367.843, 61.5637)","(-0.257259, 0.00341545, -0.966336)"
