Gestures,Hand,HandPalmPosition,HandPalmOrientation
2,Left,"(-31.6404, 385.644, 20.0885)","(-0.153344, 0.014164, -0.988071)"
2,Left,"(-30.2364, 385.54, 20.084)","(-0.151997, 0.0238603, -0.988093)"
2,Left,"(-28.8322, 385.096, 20.0952)","(-0.151941, 0.0170192, -0.988243)"
2,Left,"(-27.5057, 385.187, 20.1342)","(-0.147874, 0.0190711, -0.988822)"
2,Left,"(-26.0858, 384.652, 20.2483)","(-0.146041, 0.0111586, -0.989216)"
2,Left,"(-24.7667, 384.845, 20.2264)","(-0.140767, 0.0133255, -0.989953)"
2,Left,"(-23.4323, 384.607, 20.4839)","(-0.142788, 0.00576207, -0.989736)"
2,Left,"(-22.1856, 384.506, 20.5377)","(-0.140627, 0.00918136, -0.99002)"
2,Left,"(-20.9183, 384.361, 20.8537)","(-0.138831, 0.00864388, -0.990278)"
2,Left,"(-19.7275, 384.344, 20.9059)","(-0.137094, 0.00785684, -0.990527)"
2,Left,"(-18.5325, 384.116, 21.0081)","(-0.137071, 0.0129125, -0.990477)"
2,Left,"(-17.4111, 383.81, 20.8717)","(-0.134712, 0.00705637, -0.99086)"
2,Left,"(-16.3164, 383.496, 20.6397)","(-0.132525, 0.00926175, -0.991136)"
2,Left,"(-15.1672, 383.205, 20.8543)","(-0.130917, 0.0238657, -0.991106)"
2,Left,"(-14.108, 383.173, 20.7614)","(-0.127885, 0.0281959, -0.991388)"
2,Left,"(-13.0818, 382.942, 20.8044)","(-0.1256, 0.0184966, -0.991908)"
2,Left,"(-11.9717, 382.751, 20.9257)","(-0.119675, 0.0247237, -0.992505)"
2,Left,"(-11.0781, 382.936, 20.7714)","(-0.117715, 0.0123843, -0.99297)"
2,Left,"(-9.9982, 382.642, 20.6819)","(-0.11507, 0.0191328, -0.993173)"
2,Left,"(-8.99771, 382.39, 20.7634)","(-0.110982, 0.0184489, -0.993651)"
2,Left,"(-7.98976, 382.462, 20.6303)","(-0.106008, 0.0225262, -0.99411)"
2,Left,"(-7.0642, 382.409, 20.6767)","(-0.103294, 0.0231995, -0.99438)"
2,Left,"(-6.18564, 382.062, 20.5599)","(-0.103711, 0.0184596, -0.994436)"
2,Left,"(-5.24536, 382.101, 20.3959)","(-0.102854, 0.0155349, -0.994575)"
2,Left,"(-4.30536, 381.828, 20.2441)","(-0.0969991, 0.023033, -0.995018)"
2,Left,"(-3.31797, 381.727, 20.1591)","(-0.0955231, 0.0195744, -0.995235)"
2,Left,"(-2.3789, 381.338, 19.9907)","(-0.0897615, 0.024489, -0.995662)"
2,Left,"(-1.35273, 381.235, 20.0499)","(-0.0870812, 0.0216234, -0.995966)"
2,Left,"(-0.335006, 381.163, 20.0379)","(-0.0862589, 0.0177527, -0.996115)"
2,Left,"(0.661963, 380.986, 19.8068)","(-0.0851438, 0.017254, -0.996219)"
2,Left,"(1.6864, 380.721, 19.8811)","(-0.0829034, 0.012443, -0.99648)"
2,Left,"(2.64002, 380.454, 19.5349)","(-0.0782133, 0.0267106, -0.996579)"
2,Left,"(3.64903, 380.545, 19.4257)","(-0.0764787, 0.0298881, -0.996623)"
2,Left,"(4.6677, 380.039, 19.2373)","(-0.069976, 0.0370217, -0.996861)"
2,Left,"(5.70128, 379.922, 19.1863)","(-0.0711179, 0.0320409, -0.996953)"
2,Left,"(6.90099, 379.428, 19.2518)","(-0.0633364, 0.0348717, -0.997383)"
2,Left,"(7.94987, 379.197, 19.3436)","(-0.0663534, 0.0256437, -0.997467)"
2,Left,"(10.5316, 378.622, 19.2603)","(-0.062422, 0.0340308, -0.997469)"
2,Left,"(11.5767, 378.737, 19.2987)","(-0.0615465, 0.0314197, -0.99761)"
2,Left,"(12.8857, 378.404, 19.2843)","(-0.0480605, 0.0256732, -0.998514)"
2,Left,"(14.0423, 378.154, 19.3367)","(-0.0518067, 0.0209311, -0.998438)"
2,Left,"(15.3827, 377.712, 18.9873)","(-0.0395141, 0.0353442, -0.998594)"
2,Left,"(16.5842, 377.608, 19.1362)","(-0.0429238, 0.0350832, -0.998462)"
2,Left,"(17.9167, 377.572, 19.0033)","(-0.0349589, 0.0444961, -0.998398)"
2,Left,"(19.2289, 377.525, 19.1989)","(-0.0387402, 0.03613, -0.998596)"
2,Left,"(20.5452, 377.465, 19.2205)","(-0.0361979, 0.0415032, -0.998482)"
2,Left,"(21.8017, 377.281, 19.4383)","(-0.0382055, 0.0488453, -0.998075)"
2,Left,"(23.1849, 377.425, 19.438)","(-0.0380768, 0.0401116, -0.998469)"
2,Left,"(24.5894, 376.992, 19.6882)","(-0.027866, 0.0484818, -0.998435)"
2,Left,"(25.9279, 377.404, 19.8748)","(-0.0280038, 0.049101, -0.998401)"
2,Left,"(27.2983, 377.046, 20.1041)","(-0.0184897, 0.0383781, -0.999092)"
2,Left,"(28.4861, 377.424, 20.0656)","(-0.0191621, 0.0408405, -0.998982)"
2,Left,"(29.8614, 377.333, 20.1261)","(-0.012173, 0.0330344, -0.99938)"
2,Left,"(31.0913, 377.91, 20.193)","(-0.0133118, 0.0294816, -0.999477)"
2,Left,"(32.435, 378.068, 20.2937)","(-0.0123483, 0.0343896, -0.999332)"
2,Left,"(33.7866, 378.414, 20.3564)","(-0.00793034, 0.0429093, -0.999048)"
2,Left,"(35.1615, 378.975, 20.3971)","(-0.00748682, 0.0375695, -0.999266)"
2,Left,"(36.4748, 378.841, 20.6994)","(-0.00066479, 0.0328573, -0.99946)"
2,Left,"(37.5953, 378.979, 20.8628)","(-0.00497323, 0.0299336, -0.999539)"
2,Left,"(38.9509, 378.673, 21.2461)","(0.00106319, 0.0363126, -0.99934)"
2,Left,"(40.161, 379.122, 21.3067)","(0.000344804, 0.0389763, -0.99924)"
2,Left,"(41.5873, 378.999, 21.5707)","(0.00220074, 0.035543, -0.999366)"
2,Left,"(42.9836, 379.253, 21.6279)","(0.00205555, 0.0240144, -0.999709)"
2,Left,"(44.2383, 379.677, 21.4803)","(0.000452586, 0.0188552, -0.999822)"
2,Left,"(45.6574, 379.839, 21.7966)","(0.00609729, 0.0115674, -0.999915)"
2,Left,"(46.9342, 380.089, 21.7613)","(0.00505305, 0.0190675, -0.999805)"
2,Left,"(48.4059, 380.085, 21.9214)","(0.00987872, 0.0133593, -0.999862)"
2,Left,"(49.6748, 380.386, 22.0445)","(0.00790558, 0.0182029, -0.999803)"
2,Left,"(51.0911, 380.419, 22.5774)","(0.00984803, 0.00803111, -0.999919)"
2,Left,"(52.5385, 380.984, 22.7)","(0.0108059, 0.015538, -0.999821)"
2,Left,"(54.0059, 380.98, 23.0326)","(0.0149689, 0.0104172, -0.999834)"
2,Left,"(56.8887, 381.481, 23.3755)","(0.0152072, 0.00358608, -0.999878)"
2,Left,"(58.382, 381.364, 23.8974)","(0.0192589, -0.0136199, -0.999722)"
2,Left,"(59.7301, 381.502, 23.9219)","(0.0193077, -0.0211201, -0.999591)"
2,Left,"(61.3163, 381.312, 24.4005)","(0.023297, -0.03202, -0.999216)"
2,Left,"(62.6958, 381.311, 24.5795)","(0.0267469, -0.0200061, -0.999442)"
2,Left,"(64.2734, 380.767, 25.0727)","(0.0304413, -0.0338482, -0.998963)"
2,Left,"(65.7293, 380.864, 25.1245)","(0.0337232, -0.0276796, -0.999048)"
2,Left,"(67.1603, 380.246, 25.0737)","(0.037543, -0.0177591, -0.999137)"
2,Left,"(68.6816, 380.209, 25.2529)","(0.0405677, -0.0195694, -0.998985)"
2,Left,"(70.1269, 379.744, 25.3459)","(0.0458719, -0.0201267, -0.998745)"
2,Left,"(71.6062, 379.295, 25.6089)","(0.0468306, -0.0187262, -0.998727)"
2,Left,"(72.9803, 378.619, 25.7213)","(0.0494166, -0.0180199, -0.998616)"
2,Left,"(74.4829, 378.343, 26.1451)","(0.0536242, -0.023223, -0.998291)"
2,Left,"(75.9023, 377.835, 26.2756)","(0.0563175, -0.0211021, -0.99819)"
2,Left,"(77.3561, 377.441, 26.7272)","(0.0587803, -0.0233137, -0.997999)"
2,Left,"(78.8744, 377.113, 26.9638)","(0.0621633, -0.0205595, -0.997854)"
2,Left,"(80.3871, 376.536, 27.2204)","(0.0664588, -0.0224171, -0.997537)"
2,Left,"(81.9515, 376.515, 27.3776)","(0.0708495, -0.0239987, -0.997198)"
2,Left,"(83.4757, 376.014, 27.5427)","(0.0720305, -0.0243556, -0.997105)"
2,Left,"(84.9672, 375.745, 27.6633)","(0.0757777, -0.0233676, -0.996851)"
2,Left,"(86.3525, 375.444, 27.915)","(0.0764512, -0.0182066, -0.996907)"
2,Left,"(87.8817, 375.316, 28.1763)","(0.0785229, -0.0192833, -0.996726)"
2,Left,"(89.2559, 374.872, 28.2165)","(0.0832604, -0.00912555, -0.996486)"
2,Left,"(90.6609, 374.448, 28.5305)","(0.085866, -0.013676, -0.996213)"
2,Left,"(92.0624, 374.268, 28.719)","(0.0868349, -0.012048, -0.99615)"
2,Left,"(93.4372, 373.995, 28.8738)","(0.0879314, -0.0132155, -0.996039)"
2,Left,"(94.8008, 373.918, 29.1505)","(0.0895347, -0.0129012, -0.9959)"
2,Left,"(96.097, 373.898, 29.2936)","(0.0909565, -0.0133319, -0.995766)"
2,Left,"(97.4373, 374.053, 29.6473)","(0.0938209, -0.0205292, -0.995377)"
2,Left,"(98.8156, 374.064, 29.6608)","(0.0980641, -0.00679479, -0.995157)"
2,Left,"(100.04, 373.914, 29.8323)","(0.101555, -0.00602408, -0.994812)"
2,Left,"(101.308, 374.045, 30.2164)","(0.104186, -0.0130649, -0.994472)"
2,Left,"(102.565, 374.053, 30.3685)","(0.105898, -0.0121603, -0.994303)"
2,Left,"(103.73, 374.492, 31.232)","(0.107895, -0.0392041, -0.993389)"
2,Left,"(105.12, 374.636, 31.3293)","(0.107284, -0.0445801, -0.993228)"
2,Left,"(106.3, 374.857, 32.0151)","(0.110126, -0.0505912, -0.992629)"
2,Left,"(107.636, 374.649, 32.0478)","(0.109108, -0.0394849, -0.993245)"
2,Left,"(108.844, 374.597, 32.4825)","(0.110584, -0.0319987, -0.993352)"
2,Left,"(110.349, 374.273, 32.6307)","(0.10977, -0.0147567, -0.993847)"
2,Left,"(111.838, 373.829, 33.1206)","(0.108569, -0.0160101, -0.99396)"
2,Left,"(113.154, 373.459, 33.6834)","(0.109595, -0.00149766, -0.993975)"
2,Left,"(115.976, 371.143, 35.1945)","(0.117738, -0.00492926, -0.993033)"
2,Left,"(117.581, 370.042, 35.6788)","(0.118354, 0.000224322, -0.992971)"
2,Left,"(119.161, 369.247, 37.0342)","(0.119076, -0.0320628, -0.992367)"
2,Left,"(121.175, 368.334, 37.8065)","(0.119338, -0.0391292, -0.992082)"
2,Left,"(123.18, 367.911, 39.2142)","(0.120956, -0.0573081, -0.991002)"
2,Left,"(125.595, 366.969, 39.7973)","(0.127513, -0.0570237, -0.990196)"
2,Left,"(132.446, 365.089, 42.182)","(0.13553, -0.0255889, -0.990443)"
2,Left,"(134.041, 363.249, 42.6302)","(0.163899, -0.00151579, -0.986476)"
2,Left,"(136.072, 362.562, 43.2651)","(0.163835, -0.00990757, -0.986438)"
2,Left,"(137.838, 361.42, 43.8236)","(0.17666, -0.0105017, -0.984216)"
2,Left,"(139.905, 361.381, 44.4584)","(0.171366, -0.014422, -0.985102)"
2,Left,"(141.351, 360.606, 45.0939)","(0.168818, -0.0224298, -0.985392)"
2,Left,"(143.108, 360.466, 45.4875)","(0.172095, -0.0221324, -0.984832)"
2,Left,"(144.886, 360.638, 46.0787)","(0.170437, -0.0342815, -0.984772)"
2,Left,"(146.398, 360.608, 46.4001)","(0.179685, -0.0221323, -0.983475)"
2,Left,"(147.702, 360.509, 46.8432)","(0.175598, -0.018279, -0.984292)"
2,Left,"(148.785, 360.135, 46.9299)","(0.183969, -0.00281729, -0.982928)"
2,Left,"(149.712, 359.865, 47.2142)","(0.181425, -0.0119873, -0.983332)"
2,Left,"(150.497, 359.525, 47.3394)","(0.187122, -0.000681608, -0.982337)"
2,Left,"(151.402, 359.488, 47.54)","(0.182604, -0.0118373, -0.983115)"
2,Left,"(152.036, 359.616, 47.723)","(0.180593, -0.00602587, -0.983539)"
2,Left,"(152.726, 359.518, 47.7912)","(0.178321, -0.00672009, -0.983949)"
2,Left,"(153.596, 359.947, 47.8673)","(0.181734, -0.0128527, -0.983264)"
2,Left,"(154.143, 359.85, 47.9964)","(0.189403, 0.0038836, -0.981892)"
2,Left,"(154.98, 360.008, 48.0515)","(0.192475, -0.00341318, -0.981296)"
2,Left,"(155.419, 359.874, 48.2291)","(0.199613, 0.00889377, -0.979834)"
2,Left,"(156.164, 360.038, 48.3396)","(0.199339, 0.000838102, -0.97993)"
2,Left,"(156.462, 360.084, 48.5088)","(0.195111, 0.00638217, -0.98076)"
2,Left,"(157.136, 360.115, 48.4915)","(0.192819, -0.00309802, -0.981229)"
2,Left,"(157.63, 360.272, 48.5751)","(0.190541, -0.0139917, -0.98158)"
2,Left,"(158.159, 360.36, 48.5863)","(0.194525, -0.00615516, -0.980878)"
2,Left,"(158.58, 360.401, 48.6358)","(0.190132, -0.0128691, -0.981674)"
2,Left,"(158.825, 360.276, 48.6248)","(0.19138, -0.00199002, -0.981514)"
2,Left,"(159.202, 360.338, 48.6019)","(0.190073, -0.00467148, -0.981759)"
