Gestures,Hand,HandPalmPosition,HandPalmOrientation
0,Left,"(-47.0403, 382.744, -65.9098)","(0.216697, 0.324542, -0.920714)"
0,Left,"(-47.1958, 382.523, -66.4298)","(0.219059, 0.325018, -0.919987)"
0,Left,"(-47.2878, 382.136, -67.0058)","(0.220537, 0.325375, -0.919508)"
0,Left,"(-47.5965, 382.245, -68.3414)","(0.222928, 0.328415, -0.917849)"
0,Left,"(-48.2684, 382.05, -70.277)","(0.224809, 0.322497, -0.919487)"
0,Left,"(-48.2943, 381.916, -70.4687)","(0.224158, 0.324514, -0.918936)"
0,Left,"(-48.489, 381.937, -71.1003)","(0.224179, 0.325114, -0.918719)"
0,Left,"(-48.7031, 381.854, -71.5749)","(0.224366, 0.326607, -0.918144)"
0,Left,"(-48.8696, 381.856, -72.1995)","(0.223837, 0.330196, -0.916988)"
0,Left,"(-49.0453, 381.778, -72.8696)","(0.224364, 0.332422, -0.916055)"
0,Left,"(-49.2285, 381.768, -73.477)","(0.224954, 0.333105, -0.915662)"
0,Left,"(-49.4132, 381.794, -74.1243)","(0.226582, 0.332197, -0.91559)"
0,Left,"(-49.5303, 381.492, -74.7411)","(0.227317, 0.330207, -0.916128)"
0,Left,"(-49.6861, 381.239, -75.2726)","(0.226784, 0.333136, -0.915199)"
0,Left,"(-49.7338, 380.934, -75.83)","(0.22846, 0.333006, -0.914829)"
0,Left,"(-49.7469, 380.609, -76.4927)","(0.227393, 0.335782, -0.91408)"
0,Left,"(-49.7937, 380.227, -77.1267)","(0.228285, 0.336062, -0.913755)"
0,Left,"(-49.788, 380.061, -77.8288)","(0.228439, 0.338611, -0.912775)"
0,Left,"(-49.8292, 379.803, -78.4063)","(0.228157, 0.339029, -0.912691)"
0,Left,"(-49.7852, 379.583, -79.0327)","(0.227527, 0.340888, -0.912155)"
0,Left,"(-49.7018, 379.144, -79.6551)","(0.229815, 0.337915, -0.912687)"
0,Left,"(-49.6215, 378.795, -80.2462)","(0.229325, 0.33728, -0.913046)"
0,Left,"(-49.5324, 378.451, -80.8199)","(0.2302, 0.337827, -0.912623)"
0,Left,"(-49.3861, 378.321, -81.5227)","(0.230261, 0.343536, -0.910474)"
0,Left,"(-49.2406, 378.258, -82.2153)","(0.231156, 0.344284, -0.909965)"
0,Left,"(-49.0405, 378.091, -82.9729)","(0.23285, 0.339708, -0.911252)"
0,Left,"(-48.7966, 378.009, -83.653)","(0.233826, 0.339911, -0.910926)"
0,Left,"(-48.5221, 377.929, -84.4072)","(0.235941, 0.339375, -0.91058)"
0,Left,"(-48.222, 378.012, -85.0228)","(0.237692, 0.341022, -0.909509)"
0,Left,"(-47.9144, 378.063, -85.7841)","(0.239843, 0.337966, -0.910085)"
0,Left,"(-47.4972, 377.986, -86.5951)","(0.241243, 0.338756, -0.909421)"
0,Left,"(-47.1137, 378.042, -87.3847)","(0.240203, 0.34336, -0.907968)"
0,Left,"(-46.6373, 378.01, -88.2022)","(0.24067, 0.343839, -0.907663)"
0,Left,"(-46.1419, 378.034, -88.9469)","(0.241505, 0.343993, -0.907383)"
0,Left,"(-45.5268, 377.923, -89.7536)","(0.243937, 0.339403, -0.908461)"
0,Left,"(-44.8401, 377.793, -90.6414)","(0.247487, 0.335904, -0.908801)"
0,Left,"(-44.1313, 377.86, -91.4955)","(0.248264, 0.341601, -0.906462)"
0,Left,"(-43.4594, 378.186, -92.4632)","(0.247594, 0.346199, -0.9049)"
0,Left,"(-42.6396, 378.235, -93.3847)","(0.249078, 0.344865, -0.905002)"
0,Left,"(-41.8033, 378.368, -94.1809)","(0.249694, 0.345315, -0.90466)"
0,Left,"(-40.8049, 378.057, -94.8888)","(0.252083, 0.344187, -0.904428)"
0,Left,"(-39.7613, 377.639, -95.6453)","(0.254178, 0.342894, -0.904333)"
0,Left,"(-38.5984, 377.14, -96.3075)","(0.256539, 0.348895, -0.901366)"
0,Left,"(-37.4272, 376.862, -97.0758)","(0.258381, 0.345774, -0.902042)"
0,Left,"(-36.2069, 376.641, -97.8074)","(0.26002, 0.345798, -0.901562)"
0,Left,"(-34.772, 375.894, -98.4458)","(0.264277, 0.342588, -0.901549)"
0,Left,"(-33.4103, 375.221, -98.9841)","(0.267367, 0.340921, -0.90127)"
0,Left,"(-31.8921, 374.378, -99.4408)","(0.271851, 0.33793, -0.901055)"
0,Left,"(-30.3878, 373.736, -99.9573)","(0.272795, 0.335055, -0.901843)"
0,Left,"(-28.8145, 373.162, -100.43)","(0.276474, 0.331225, -0.902138)"
0,Left,"(-27.2064, 372.458, -100.853)","(0.280142, 0.32286, -0.904036)"
0,Left,"(-25.4356, 371.525, -101.083)","(0.286417, 0.319839, -0.903144)"
0,Left,"(-23.7262, 370.618, -101.349)","(0.28934, 0.314496, -0.904088)"
0,Left,"(-21.945, 369.699, -101.44)","(0.294873, 0.314537, -0.902284)"
0,Left,"(-20.1898, 368.802, -101.631)","(0.299494, 0.310567, -0.902137)"
0,Left,"(-18.1904, 368.106, -101.969)","(0.30498, 0.313529, -0.89927)"
0,Left,"(-16.3389, 367.345, -102.295)","(0.306479, 0.30951, -0.900152)"
0,Left,"(-14.5245, 366.742, -102.488)","(0.30929, 0.317486, -0.896405)"
0,Left,"(-12.475, 366.094, -102.792)","(0.315926, 0.320417, -0.893042)"
0,Left,"(-10.5224, 365.822, -103.198)","(0.31993, 0.319634, -0.891896)"
0,Left,"(-8.64703, 365.435, -103.489)","(0.321712, 0.318241, -0.891754)"
0,Left,"(-6.61539, 364.9, -103.733)","(0.328952, 0.314055, -0.890595)"
0,Left,"(-4.63259, 364.081, -103.901)","(0.335793, 0.302561, -0.89202)"
0,Left,"(-0.954177, 363.103, -104.091)","(0.337278, 0.306123, -0.890243)"
0,Left,"(0.796429, 362.556, -104.232)","(0.344998, 0.298479, -0.88988)"
0,Left,"(2.79088, 362.165, -104.441)","(0.353258, 0.29527, -0.887707)"
0,Left,"(4.78732, 361.857, -104.663)","(0.359997, 0.296574, -0.88456)"
0,Left,"(6.69758, 361.52, -104.933)","(0.364823, 0.299072, -0.881737)"
0,Left,"(8.47158, 361.3, -105.169)","(0.368655, 0.295206, -0.881446)"
0,Left,"(10.2618, 361.087, -105.332)","(0.374487, 0.294038, -0.879376)"
0,Left,"(12.0424, 360.912, -105.592)","(0.379241, 0.291823, -0.878075)"
0,Left,"(13.7042, 361.019, -105.8)","(0.382759, 0.290263, -0.877065)"
0,Left,"(15.1865, 360.819, -105.866)","(0.381433, 0.294947, -0.876079)"
0,Left,"(16.8474, 360.485, -106.033)","(0.385824, 0.293207, -0.87474)"
0,Left,"(18.3559, 360.276, -106.139)","(0.389383, 0.293336, -0.873118)"
0,Left,"(19.8021, 360.203, -106.235)","(0.391457, 0.292211, -0.872568)"
0,Left,"(21.201, 360.006, -106.316)","(0.394583, 0.287092, -0.872859)"
0,Left,"(22.619, 359.954, -106.342)","(0.397101, 0.289435, -0.870941)"
0,Left,"(23.938, 360.162, -106.428)","(0.398237, 0.291959, -0.869579)"
0,Left,"(25.336, 360.471, -106.628)","(0.402303, 0.29068, -0.868135)"
0,Left,"(26.6614, 361.247, -106.821)","(0.401831, 0.295519, -0.866718)"
0,Left,"(28.1406, 361.47, -106.959)","(0.404923, 0.295179, -0.865394)"
0,Left,"(29.5661, 361.694, -107.105)","(0.406394, 0.294734, -0.864856)"
0,Left,"(30.9955, 361.939, -107.222)","(0.408375, 0.294592, -0.863971)"
0,Left,"(32.2771, 362.322, -107.235)","(0.404979, 0.303202, -0.862589)"
0,Left,"(33.7244, 362.44, -107.378)","(0.408946, 0.296925, -0.862901)"
0,Left,"(35.2253, 362.407, -107.46)","(0.410516, 0.297123, -0.862087)"
0,Left,"(36.7673, 362.64, -107.572)","(0.411868, 0.296131, -0.861784)"
0,Left,"(38.2793, 362.711, -107.597)","(0.412153, 0.298613, -0.86079)"
0,Left,"(39.8404, 362.591, -107.724)","(0.412418, 0.297041, -0.861207)"
0,Left,"(41.4899, 362.548, -107.795)","(0.411689, 0.298899, -0.860913)"
0,Left,"(43.146, 362.556, -107.848)","(0.413359, 0.299321, -0.859966)"
0,Left,"(44.7691, 362.62, -107.879)","(0.414143, 0.30131, -0.858893)"
0,Left,"(46.448, 362.344, -107.906)","(0.413817, 0.303398, -0.858316)"
0,Left,"(48.2069, 362.248, -107.994)","(0.416774, 0.305097, -0.85628)"
0,Left,"(50.049, 362.232, -108.032)","(0.419821, 0.297986, -0.857295)"
0,Left,"(51.9286, 362.337, -108.171)","(0.422168, 0.30336, -0.854252)"
0,Left,"(53.829, 362.197, -108.165)","(0.424263, 0.29964, -0.854527)"
0,Left,"(55.8018, 361.847, -108.277)","(0.428593, 0.297213, -0.853213)"
0,Left,"(57.7198, 361.846, -107.941)","(0.440918, 0.312664, -0.841328)"
0,Left,"(59.6159, 361.239, -107.676)","(0.448277, 0.3235, -0.833304)"
0,Left,"(61.4667, 360.955, -107.427)","(0.451613, 0.325166, -0.83085)"
0,Left,"(63.473, 360.878, -107.358)","(0.453918, 0.332076, -0.826852)"
0,Left,"(65.5261, 360.929, -107.295)","(0.458842, 0.331415, -0.824396)"
0,Left,"(67.6409, 360.444, -107.305)","(0.463841, 0.32163, -0.825473)"
0,Left,"(69.6315, 360.108, -107.177)","(0.465629, 0.323578, -0.823703)"
0,Left,"(71.6666, 359.723, -107.032)","(0.469216, 0.323165, -0.821828)"
0,Left,"(73.7061, 359.196, -106.952)","(0.473915, 0.319011, -0.820754)"
0,Left,"(75.7977, 359.032, -106.961)","(0.476753, 0.314392, -0.820892)"
0,Left,"(77.9803, 358.975, -107.052)","(0.478761, 0.312673, -0.82038)"
0,Left,"(80.0852, 358.947, -107.117)","(0.482113, 0.31333, -0.818164)"
0,Left,"(82.1218, 358.875, -107.114)","(0.483987, 0.311173, -0.81788)"
0,Left,"(84.3114, 358.722, -107.099)","(0.488045, 0.308714, -0.816399)"
0,Left,"(86.6254, 358.854, -106.98)","(0.496471, 0.310941, -0.810452)"
0,Left,"(89.0083, 359.151, -106.962)","(0.506296, 0.310724, -0.804434)"
0,Left,"(91.248, 359.082, -106.872)","(0.514281, 0.310814, -0.799318)"
0,Left,"(93.3621, 359.043, -106.712)","(0.519912, 0.314742, -0.794121)"
0,Left,"(95.3119, 358.689, -106.585)","(0.52297, 0.317227, -0.791119)"
0,Left,"(97.2148, 358.499, -106.359)","(0.52445, 0.318925, -0.789455)"
0,Left,"(99.0981, 358.384, -106.295)","(0.527708, 0.319241, -0.787153)"
0,Left,"(100.907, 358.149, -106.094)","(0.529741, 0.316902, -0.786732)"
0,Left,"(102.738, 358.239, -105.904)","(0.531184, 0.322638, -0.783421)"
0,Left,"(104.408, 358.073, -105.834)","(0.533552, 0.315083, -0.784885)"
0,Left,"(105.97, 357.858, -105.548)","(0.535539, 0.314266, -0.783859)"
0,Left,"(107.706, 358.251, -105.571)","(0.53687, 0.309379, -0.784892)"
