Gestures,Hand,HandPalmPosition,HandPalmOrientation
0,Right,"(-2.67128, 350.616, -22.6513)","(-0.22509, 0.179691, -0.957625)"
0,Right,"(-3.14521, 350.739, -22.6209)","(-0.224225, 0.179037, -0.95795)"
0,Right,"(-3.47088, 350.87, -22.5576)","(-0.214859, 0.196103, -0.956754)"
0,Right,"(-3.96613, 350.888, -22.5338)","(-0.213381, 0.186776, -0.958949)"
0,Right,"(-4.37866, 351.173, -22.5463)","(-0.206309, 0.204791, -0.956816)"
0,Right,"(-4.91742, 351.205, -22.6185)","(-0.203702, 0.194516, -0.959515)"
0,Right,"(-5.41633, 351.231, -22.6753)","(-0.201466, 0.189648, -0.960961)"
0,Right,"(-5.98963, 350.97, -22.6672)","(-0.204798, 0.185008, -0.961161)"
0,Right,"(-6.40549, 350.744, -22.7048)","(-0.207649, 0.180789, -0.961352)"
0,Right,"(-6.81951, 350.839, -22.8223)","(-0.202559, 0.192474, -0.960169)"
0,Right,"(-7.30225, 350.491, -22.9045)","(-0.203251, 0.179548, -0.962523)"
0,Right,"(-7.71914, 350.374, -23.0033)","(-0.197572, 0.187072, -0.962273)"
0,Right,"(-8.26259, 349.923, -23.0987)","(-0.201217, 0.17158, -0.964402)"
0,Right,"(-8.65162, 349.333, -23.1127)","(-0.200174, 0.164437, -0.965863)"
0,Right,"(-9.13582, 349.193, -23.2283)","(-0.205315, 0.161302, -0.965312)"
0,Right,"(-9.52944, 349.053, -23.2966)","(-0.205987, 0.157609, -0.965779)"
0,Right,"(-9.84239, 348.803, -23.5343)","(-0.198919, 0.158299, -0.967147)"
0,Right,"(-10.2899, 348.869, -23.7402)","(-0.200662, 0.159164, -0.966644)"
0,Right,"(-10.6051, 348.882, -23.9718)","(-0.194549, 0.165498, -0.966831)"
0,Right,"(-11.0073, 348.949, -24.1707)","(-0.19403, 0.164788, -0.967056)"
0,Right,"(-11.3868, 348.916, -24.3578)","(-0.193836, 0.167038, -0.966709)"
0,Right,"(-11.8161, 348.983, -24.5746)","(-0.194484, 0.165629, -0.966821)"
0,Right,"(-12.3091, 348.862, -24.7759)","(-0.197528, 0.163308, -0.966599)"
0,Right,"(-12.6766, 348.83, -24.9911)","(-0.194259, 0.167571, -0.966532)"
0,Right,"(-13.1367, 348.721, -25.1437)","(-0.196706, 0.159905, -0.967335)"
0,Right,"(-13.4849, 348.762, -25.3689)","(-0.1945, 0.163367, -0.967203)"
0,Right,"(-13.9361, 348.684, -25.5399)","(-0.195777, 0.163985, -0.96684)"
0,Right,"(-14.3186, 348.569, -25.7833)","(-0.197878, 0.16068, -0.966968)"
0,Right,"(-14.6373, 348.549, -25.9647)","(-0.195833, 0.150847, -0.968966)"
0,Right,"(-14.966, 348.66, -26.1691)","(-0.197142, 0.146395, -0.969383)"
0,Right,"(-15.215, 348.88, -26.415)","(-0.191246, 0.14902, -0.970164)"
0,Right,"(-15.5851, 349.111, -26.625)","(-0.191435, 0.148399, -0.970222)"
0,Right,"(-15.8265, 349.464, -26.9018)","(-0.185382, 0.152498, -0.970762)"
0,Right,"(-16.2092, 349.635, -27.1035)","(-0.186792, 0.153852, -0.970277)"
0,Right,"(-16.5331, 349.714, -27.2736)","(-0.188018, 0.160305, -0.968995)"
0,Right,"(-16.8507, 349.798, -27.4708)","(-0.187521, 0.155704, -0.969841)"
0,Right,"(-17.1925, 349.92, -27.6564)","(-0.189794, 0.151918, -0.969999)"
0,Right,"(-17.4129, 350.22, -27.9061)","(-0.187827, 0.160074, -0.96907)"
0,Right,"(-17.743, 350.212, -28.1191)","(-0.189041, 0.158646, -0.969069)"
0,Right,"(-18.0063, 350.252, -28.3403)","(-0.190324, 0.161388, -0.968365)"
0,Right,"(-18.2522, 350.183, -28.5306)","(-0.191116, 0.163658, -0.967828)"
0,Right,"(-18.5082, 349.981, -28.7264)","(-0.191455, 0.166328, -0.967306)"
0,Right,"(-18.6772, 349.835, -28.9194)","(-0.191462, 0.16367, -0.967757)"
0,Right,"(-18.8176, 349.611, -29.0603)","(-0.190463, 0.162954, -0.968075)"
0,Right,"(-18.9191, 349.432, -29.2693)","(-0.18707, 0.162999, -0.968729)"
0,Right,"(-19.0241, 349.336, -29.4203)","(-0.1852, 0.163805, -0.968952)"
0,Right,"(-19.1121, 349.314, -29.5599)","(-0.184782, 0.165629, -0.968722)"
0,Right,"(-19.2054, 349.095, -29.7312)","(-0.185998, 0.160581, -0.969339)"
0,Right,"(-19.3067, 349.005, -29.8557)","(-0.187245, 0.160298, -0.969146)"
0,Right,"(-19.4076, 349.217, -30.0361)","(-0.189315, 0.162961, -0.968299)"
0,Right,"(-19.456, 349.292, -30.2649)","(-0.189252, 0.162246, -0.968432)"
0,Right,"(-19.4702, 349.343, -30.4152)","(-0.18728, 0.165251, -0.968307)"
0,Right,"(-19.5377, 349.272, -30.6534)","(-0.188034, 0.164629, -0.968267)"
0,Right,"(-19.5447, 349.199, -30.8278)","(-0.187154, 0.168601, -0.967754)"
0,Right,"(-19.2619, 349.191, -31.5301)","(-0.180338, 0.168497, -0.969065)"
0,Right,"(-19.1999, 349.191, -31.7788)","(-0.179738, 0.16579, -0.969643)"
0,Right,"(-19.1026, 349.092, -31.9219)","(-0.176235, 0.166394, -0.970183)"
0,Right,"(-19.0073, 348.871, -32.0407)","(-0.176389, 0.161348, -0.971007)"
0,Right,"(-18.8866, 348.641, -32.2169)","(-0.175055, 0.160734, -0.97135)"
0,Right,"(-18.8966, 348.571, -32.3631)","(-0.175311, 0.160462, -0.971348)"
0,Right,"(-18.9406, 348.619, -32.4589)","(-0.177118, 0.16126, -0.970888)"
0,Right,"(-18.9802, 348.711, -32.6303)","(-0.175416, 0.16112, -0.971221)"
0,Right,"(-18.9823, 348.658, -32.7796)","(-0.173361, 0.157724, -0.972147)"
0,Right,"(-18.8382, 348.642, -32.9212)","(-0.162232, 0.15208, -0.974963)"
0,Right,"(-18.8337, 348.639, -33.073)","(-0.159063, 0.146208, -0.976382)"
0,Right,"(-18.8965, 348.667, -33.2238)","(-0.157681, 0.145668, -0.976687)"
0,Right,"(-18.913, 348.738, -33.3769)","(-0.155337, 0.141768, -0.977636)"
0,Right,"(-19.0019, 348.752, -33.5357)","(-0.154631, 0.139327, -0.978099)"
0,Right,"(-19.046, 348.96, -33.6925)","(-0.151717, 0.14084, -0.978338)"
0,Right,"(-19.1855, 348.933, -33.9063)","(-0.152192, 0.138828, -0.978552)"
0,Right,"(-19.2352, 348.913, -34.0478)","(-0.148763, 0.139318, -0.97901)"
0,Right,"(-19.3477, 348.951, -34.2209)","(-0.147902, 0.138231, -0.979294)"
0,Right,"(-19.47, 348.792, -34.41)","(-0.148498, 0.137544, -0.979301)"
0,Right,"(-19.6064, 348.641, -34.583)","(-0.149539, 0.136908, -0.979231)"
0,Right,"(-19.7384, 348.627, -34.7538)","(-0.152166, 0.137913, -0.978686)"
0,Right,"(-19.8114, 348.728, -34.9463)","(-0.151396, 0.138227, -0.978761)"
0,Right,"(-19.9783, 348.721, -35.0812)","(-0.154903, 0.135622, -0.978576)"
0,Right,"(-20.1281, 348.781, -35.2902)","(-0.155746, 0.136479, -0.978323)"
0,Right,"(-20.2734, 348.661, -35.4662)","(-0.156458, 0.13826, -0.97796)"
0,Right,"(-20.4614, 348.636, -35.6819)","(-0.159167, 0.138916, -0.977429)"
0,Right,"(-20.6401, 348.568, -35.8869)","(-0.160398, 0.138294, -0.977316)"
0,Right,"(-20.7903, 348.387, -36.1182)","(-0.159252, 0.136291, -0.977785)"
0,Right,"(-20.9337, 348.274, -36.3641)","(-0.156622, 0.136647, -0.97816)"
0,Right,"(-21.0124, 348.108, -36.5338)","(-0.153795, 0.135407, -0.978781)"
0,Right,"(-21.1766, 348.063, -36.7411)","(-0.149198, 0.137286, -0.979231)"
0,Right,"(-21.3556, 348.029, -36.9245)","(-0.149004, 0.13646, -0.979375)"
0,Right,"(-21.6119, 347.951, -37.116)","(-0.152751, 0.135943, -0.97887)"
0,Right,"(-21.9546, 347.966, -37.2866)","(-0.160643, 0.143178, -0.976573)"
0,Right,"(-22.1181, 347.766, -37.4618)","(-0.158081, 0.138726, -0.977632)"
0,Right,"(-22.2994, 347.633, -37.6432)","(-0.155804, 0.138281, -0.978061)"
0,Right,"(-22.5607, 347.652, -37.8096)","(-0.158815, 0.14111, -0.977172)"
0,Right,"(-22.7908, 347.612, -38.0345)","(-0.157921, 0.142918, -0.977054)"
0,Right,"(-22.983, 347.63, -38.1563)","(-0.156825, 0.141254, -0.977473)"
0,Right,"(-23.2077, 347.494, -38.2836)","(-0.155289, 0.138935, -0.97805)"
0,Right,"(-23.4678, 347.442, -38.4647)","(-0.157132, 0.141022, -0.977457)"
0,Right,"(-23.77, 347.365, -38.7)","(-0.162198, 0.142289, -0.976445)"
0,Right,"(-24.0221, 347.312, -38.8693)","(-0.163697, 0.143652, -0.975996)"
0,Right,"(-24.2786, 347.178, -39.0658)","(-0.164201, 0.143945, -0.975868)"
0,Right,"(-24.4873, 346.943, -39.3177)","(-0.160511, 0.138442, -0.977277)"
0,Right,"(-24.7302, 346.526, -39.5642)","(-0.158499, 0.135176, -0.978062)"
0,Right,"(-25.0004, 346.32, -39.7546)","(-0.158962, 0.130981, -0.978558)"
0,Right,"(-25.2863, 346.227, -39.9912)","(-0.161045, 0.127578, -0.978667)"
0,Right,"(-25.5095, 346.134, -40.2123)","(-0.161454, 0.126062, -0.978796)"
0,Right,"(-25.8032, 346.122, -40.4622)","(-0.162329, 0.124947, -0.978794)"
0,Right,"(-26.0377, 345.875, -40.6301)","(-0.162449, 0.122766, -0.97905)"
0,Right,"(-26.2946, 345.872, -40.8757)","(-0.161431, 0.123974, -0.979066)"
0,Right,"(-26.5582, 345.954, -41.0869)","(-0.163515, 0.125781, -0.97849)"
0,Right,"(-26.7908, 346.127, -41.3127)","(-0.16335, 0.128617, -0.978148)"
0,Right,"(-27.0478, 346.224, -41.5351)","(-0.161082, 0.129361, -0.978427)"
0,Right,"(-27.2424, 346.233, -41.7357)","(-0.158807, 0.125664, -0.97928)"
0,Right,"(-27.4279, 346.127, -41.923)","(-0.157933, 0.12466, -0.979549)"
0,Right,"(-27.589, 346.194, -42.0777)","(-0.157519, 0.124907, -0.979585)"
0,Right,"(-27.7464, 346.394, -42.2118)","(-0.156789, 0.126869, -0.97945)"
0,Right,"(-27.9333, 346.65, -42.3846)","(-0.158974, 0.131134, -0.978535)"
0,Right,"(-28.1152, 346.923, -42.5611)","(-0.161805, 0.133577, -0.97774)"
0,Right,"(-28.2458, 347.201, -42.7271)","(-0.162361, 0.132896, -0.977741)"
0,Right,"(-28.369, 347.313, -42.89)","(-0.160877, 0.132907, -0.977985)"
0,Right,"(-28.4696, 347.559, -43.0309)","(-0.160116, 0.131535, -0.978295)"
0,Right,"(-28.5657, 347.657, -43.1586)","(-0.159951, 0.131765, -0.978291)"
0,Right,"(-28.6285, 347.691, -43.3029)","(-0.161119, 0.132074, -0.978058)"
0,Right,"(-28.7091, 347.746, -43.4245)","(-0.16273, 0.133566, -0.977588)"
0,Right,"(-28.7571, 347.829, -43.5607)","(-0.163764, 0.134015, -0.977354)"
0,Right,"(-28.7848, 347.934, -43.702)","(-0.163939, 0.134017, -0.977325)"
0,Right,"(-28.8142, 348.175, -43.8544)","(-0.166091, 0.139243, -0.97623)"
0,Right,"(-28.8211, 348.28, -44.0137)","(-0.16728, 0.140842, -0.975798)"
0,Right,"(-28.7707, 348.404, -44.1672)","(-0.16968, 0.143962, -0.974927)"
0,Right,"(-28.6469, 348.543, -44.3585)","(-0.168452, 0.143292, -0.975239)"
0,Right,"(-28.5789, 348.589, -44.4963)","(-0.169994, 0.14306, -0.975006)"
0,Right,"(-28.4421, 348.522, -44.643)","(-0.168533, 0.143743, -0.975159)"
0,Right,"(-28.284, 348.331, -44.7381)","(-0.168616, 0.139045, -0.975825)"
0,Right,"(-28.1286, 348.099, -44.8636)","(-0.168023, 0.134852, -0.976516)"
0,Right,"(-27.9824, 347.869, -44.9286)","(-0.166311, 0.129563, -0.977525)"
0,Right,"(-27.8544, 347.698, -45.0453)","(-0.1658, 0.129238, -0.977654)"
0,Right,"(-27.7052, 347.622, -45.1535)","(-0.164819, 0.128544, -0.977911)"
0,Right,"(-27.5825, 347.348, -45.2062)","(-0.162523, 0.124915, -0.978766)"
0,Right,"(-27.4116, 347.103, -45.2683)","(-0.160011, 0.11948, -0.979858)"
0,Right,"(-27.2791, 346.81, -45.3564)","(-0.158987, 0.11388, -0.980691)"
0,Right,"(-27.2024, 346.671, -45.4085)","(-0.159815, 0.112682, -0.980695)"
0,Right,"(-27.0927, 346.527, -45.4653)","(-0.158796, 0.108172, -0.981368)"
0,Right,"(-26.9994, 346.365, -45.4893)","(-0.159207, 0.106448, -0.98149)"
0,Right,"(-26.91, 346.364, -45.5329)","(-0.160258, 0.107799, -0.981171)"
0,Right,"(-26.8294, 346.348, -45.5613)","(-0.161846, 0.107021, -0.980996)"
0,Right,"(-26.7192, 346.322, -45.5953)","(-0.162417, 0.106944, -0.98091)"
0,Right,"(-26.6146, 346.263, -45.6379)","(-0.160759, 0.105013, -0.981391)"
0,Right,"(-26.4874, 346.265, -45.6874)","(-0.159944, 0.104497, -0.98158)"
0,Right,"(-26.3904, 346.41, -45.6966)","(-0.161271, 0.106649, -0.981131)"
0,Right,"(-26.3254, 346.511, -45.6481)","(-0.163242, 0.110644, -0.980362)"
0,Right,"(-26.2199, 346.6, -45.6012)","(-0.164024, 0.112769, -0.979989)"
0,Right,"(-26.1349, 346.473, -45.5415)","(-0.163865, 0.113589, -0.979921)"
0,Right,"(-26.03, 346.424, -45.4711)","(-0.163364, 0.114239, -0.979929)"
0,Right,"(-25.9415, 346.492, -45.4168)","(-0.16398, 0.115804, -0.979643)"
0,Right,"(-25.824, 346.515, -45.3799)","(-0.163115, 0.117258, -0.979614)"
0,Right,"(-25.7157, 346.555, -45.3247)","(-0.162631, 0.115927, -0.979853)"
0,Right,"(-25.5558, 346.554, -45.2555)","(-0.162223, 0.119082, -0.979542)"
0,Right,"(-25.41, 346.616, -45.1738)","(-0.163168, 0.12066, -0.979192)"
0,Right,"(-25.297, 346.715, -45.1087)","(-0.164218, 0.121622, -0.978898)"
0,Right,"(-25.151, 346.581, -45.0252)","(-0.161544, 0.123737, -0.979078)"
0,Right,"(-25.0303, 346.62, -44.9215)","(-0.162118, 0.123259, -0.979043)"
0,Right,"(-24.958, 346.659, -44.8509)","(-0.162921, 0.128245, -0.978269)"
0,Right,"(-24.8494, 346.84, -44.7734)","(-0.163209, 0.130594, -0.97791)"
0,Right,"(-24.7689, 346.847, -44.6411)","(-0.164695, 0.130134, -0.977722)"
0,Right,"(-24.6734, 346.913, -44.4955)","(-0.164857, 0.127459, -0.978047)"
0,Right,"(-24.577, 346.906, -44.3651)","(-0.165253, 0.122535, -0.97861)"
0,Right,"(-24.5134, 346.974, -44.2305)","(-0.165297, 0.124646, -0.978336)"
0,Right,"(-24.4429, 347.157, -44.0405)","(-0.165963, 0.126145, -0.97803)"
0,Right,"(-24.4055, 347.355, -43.9159)","(-0.167709, 0.131969, -0.976964)"
0,Right,"(-24.3666, 347.59, -43.7555)","(-0.169221, 0.135057, -0.976281)"
0,Right,"(-24.3566, 347.868, -43.5775)","(-0.171123, 0.147018, -0.974219)"
